Nama Kecamatan,Kepadatan Penduduk
Andir,2.311682464454976
Antapani,1.764478672985782
Arcamanik,0.9132147562582346
Astanaanyar,2.568283582089552
Babakan Ciparay,2.0805657708628007
Bandung Kidul,1.0877675276752767
Bandung Kulon,2.0490791366906476
Bandung Wetan,0.9047674418604651
Batununggal,2.5088589211618255
Bojongloa Kaler,3.8591346153846158
Bojongloa Kidul,1.6474615384615385
Buah Batu,1.274906166219839
Cibeunying Kaler,1.5285344827586207
Cibeunying Kidul,2.604009661835749
Cibiru,1.0528654970760234
Cicendo,1.2805134788189987
Cidadap,0.6968171021377673
Cinambo,0.5936705882352942
Coblong,1.7993160054719564
Gedebage,0.37230923694779117
Kiaracondong,2.2753793103448277
Lengkong,1.204517766497462
Mandalajati,1.3245416666666667
Panyileukan,0.7579661016949153
Rancasari,1.0969329529243936
Regol,1.7187130801687762
Sukajadi,2.0525568181818183
Sukasari,1.2878616352201258
Sumur Bandung,1.04810888252149
Ujung Berung,1.232403846153846
